name,team,span,mat,inns,no,runs,hs,ave,100,50,0
RJ Bright,AUS,1977-1986,25,39,8,445,33,14.35,0,0,6
AW Briscoe,SA,1935-1939,2,3,0,33,16,11.00,0,0,0
BC Broad,ENG,1984-1989,25,44,2,1661,162,39.54,6,6,3
SCJ Broad,ENG,2007-2023,161,236,39,3584,169,18.19,1,13,39
W Brockwell,ENG,1893-1899,7,12,0,202,49,16.83,0,0,1
HD Bromfield,SA,1961-1965,9,12,7,59,21,11.80,0,0,3
EH Bromley,AUS,1933-1934,2,4,0,38,26,9.50,0,0,0
HR Bromley-Davenport,ENG,1896-1899,4,6,0,128,84,21.33,0,1,1
HC Brook,ENG,2022-2023,6,10,0,809,186,80.90,4,3,1
D Brookes,ENG,1948-1948,1,2,0,17,10,8.50,0,0,0
SSJ Brooks,WI,2019-2022,13,24,0,553,111,23.04,1,3,3
NT Broom,NZ,2017-2017,2,3,0,32,20,10.66,0,0,1
A Brown,ENG,1961-1961,2,1,1,3,3*,-,0,0,0
DJ Brown,ENG,1965-1969,26,34,5,342,44*,11.79,0,0,6
FR Brown,ENG,1931-1953,22,30,1,734,79,25.31,0,5,1
G Brown,ENG,1921-1923,7,12,2,299,84,29.90,0,2,2
JT Brown,ENG,1894-1899,8,16,3,470,140,36.15,1,1,2
LS Brown,SA,1931-1932,2,3,0,17,8,5.66,0,0,0
SJE Brown,ENG,1996-1996,1,2,1,11,10*,11.00,0,0,0
VR Brown,NZ,1985-1985,2,3,1,51,36*,25.50,0,0,1
WA Brown,AUS,1934-1948,22,35,1,1592,206*,46.82,4,9,1
CO Browne,WI,1995-2005,20,30,6,387,68,16.12,0,1,7
CR Browne,WI,1928-1930,4,8,1,176,70*,25.14,0,1,2
DG Brownlie,NZ,2011-2013,14,25,1,711,109,29.62,1,4,3
W Bruce,AUS,1885-1895,14,26,2,702,80,29.25,0,5,1
GK Bruk-Jackson,ZIM,1993-1993,2,4,0,39,31,9.75,0,0,1
CP Buckenham,ENG,1910-1910,4,7,0,43,17,6.14,0,0,1
JJ Bumrah,IND,2018-2022,30,46,17,212,34*,7.31,0,0,15
PJP Burge,AUS,1955-1966,42,68,8,2290,181,38.16,4,12,5
CGD Burger,SA,1958-1958,2,4,1,62,37*,20.66,0,0,0
MG Burgess,NZ,1968-1980,50,92,6,2684,119*,31.20,5,14,5
C Burke,NZ,1946-1946,1,2,0,4,3,2.00,0,0,0
JW Burke,AUS,1951-1959,24,44,7,1280,189,34.59,3,5,0
SF Burke,SA,1962-1965,2,4,1,42,20,14.00,0,0,1
RP Burl,ZIM,2017-2021,3,5,0,24,16,4.80,0,0,3
MG Burmester,ZIM,1992-1992,3,4,2,54,30*,27.00,0,0,1
EJK Burn,AUS,1890-1890,2,4,0,41,19,10.25,0,0,1
JA Burns,AUS,2014-2020,23,40,1,1442,180,36.97,4,7,6
RJ Burns,ENG,2018-2022,32,59,0,1789,133,30.32,3,11,9
FJ Burton,AUS,1887-1888,2,4,2,4,2*,2.00,0,0,0
TB Burtt,NZ,1947-1953,10,15,3,252,42,21.00,0,0,1
IP Butchart,ZIM,1995-1995,1,2,0,23,15,11.50,0,0,0
AR Butcher,ENG,1979-1979,1,2,0,34,20,17.00,0,0,0
BF Butcher,WI,1958-1969,44,78,6,3104,209*,43.11,7,16,3
MA Butcher,ENG,1997-2004,71,131,7,4288,173*,34.58,8,23,10
RO Butcher,ENG,1981-1981,3,5,0,71,32,14.20,0,0,1
HJ Butler,ENG,1947-1948,2,2,1,15,15*,15.00,0,0,1
IG Butler,NZ,2002-2004,8,10,2,76,26,9.50,0,0,2
LS Butler,WI,1955-1955,1,1,0,16,16,16.00,0,0,0
HR Butt,ENG,1896-1896,3,4,1,22,13,7.33,0,0,1
LA Butterfield,NZ,1946-1946,1,2,0,0,0,0.00,0,0,2
JC Buttler,ENG,2014-2022,57,100,9,2907,152,31.94,2,18,9
CG Butts,WI,1985-1988,7,8,1,108,38,15.42,0,0,1
ID Buys,SA,1922-1922,1,2,1,4,4*,4.00,0,0,1
MR Bynoe,WI,1959-1967,4,6,0,111,48,18.50,0,0,0
AR Caddick,ENG,1993-2003,62,95,12,861,49*,10.37,0,0,19
BL Cairns,NZ,1974-1985,43,65,8,928,64,16.28,0,2,7
CL Cairns,NZ,1989-2004,62,104,5,3320,158,33.53,5,22,7
ST Callaway,AUS,1892-1895,3,6,1,87,41,17.40,0,0,1
IW Callen,AUS,1978-1978,1,2,2,26,22*,-,0,0,0
Hon.FSG Calthorpe,ENG,1930-1930,4,7,0,129,49,18.42,0,0,1
GS Camacho,WI,1968-1971,11,22,0,640,87,29.09,0,4,1
FJ Cameron,WI,1948-1949,5,7,1,151,75*,25.16,0,1,1
FJ Cameron,NZ,1961-1965,19,30,20,116,27*,11.60,0,0,4
HB Cameron,SA,1927-1935,26,45,4,1239,90,30.21,0,10,3
JH Cameron,WI,1939-1939,2,3,0,6,5,2.00,0,0,1
J Cameron-Dow,IRE,2019-2019,1,2,1,41,32*,41.00,0,0,0
ADR Campbell,ZIM,1992-2002,60,109,4,2858,103,27.21,2,18,10
GD Campbell,AUS,1989-1990,4,4,0,10,6,2.50,0,0,2
JD Campbell,WI,2019-2022,20,40,6,888,68,26.11,0,3,2
SL Campbell,WI,1995-2002,52,93,4,2882,208,32.38,4,18,7
T Campbell,SA,1910-1912,5,9,3,90,48,15.00,0,0,1
C Campher,IRE,2023-2023,3,6,0,188,111,31.33,1,0,1
DJ Capel,ENG,1987-1990,15,25,1,374,98,15.58,0,2,4
MA Carberry,ENG,2010-2014,6,12,0,345,60,28.75,0,1,2
GM Carew,WI,1935-1949,4,7,1,170,107,28.33,1,0,1
MC Carew,WI,1963-1972,19,36,3,1127,109,34.15,1,5,1
AT Carey,AUS,2021-2023,19,25,3,689,111,31.31,1,3,3
W Carkeek,AUS,1912-1912,6,5,2,16,6*,5.33,0,0,0
SV Carlisle,ZIM,1995-2005,37,66,6,1615,118,26.91,2,8,7
PH Carlson,AUS,1979-1979,2,4,0,23,21,5.75,0,0,2
PR Carlstein,SA,1958-1964,8,14,1,190,42,14.61,0,0,1
AW Carr,ENG,1922-1929,11,13,1,237,63,19.75,0,1,0
DB Carr,ENG,1951-1952,2,4,0,135,76,33.75,0,1,0
DW Carr,ENG,1909-1909,1,1,0,0,0,0.00,0,0,1
CP Carter,SA,1912-1924,10,15,5,181,45,18.10,0,0,3
H Carter,AUS,1907-1921,28,47,9,873,72,22.97,0,4,4
HWR Cartwright,AUS,2017-2017,2,2,0,55,37,27.50,0,0,0
TW Cartwright,ENG,1964-1965,5,7,2,26,9,5.20,0,0,2
B Casson,AUS,2008-2008,1,1,0,10,10,10.00,0,0,0
RH Catterall,SA,1922-1931,24,43,2,1555,120,37.92,3,11,3
HB Cave,NZ,1949-1958,19,31,5,229,22*,8.80,0,0,5
RW Chakabva,ZIM,2011-2021,22,43,4,1061,101,27.20,1,5,3
G Challenor,WI,1928-1928,3,6,0,101,46,16.83,0,0,2
PVD Chameera,SL,2015-2021,12,21,2,104,22,5.47,0,0,5
UDU Chandana,SL,1999-2005,16,24,1,616,92,26.78,0,2,0
S Chanderpaul,WI,1994-2015,164,280,49,11867,203*,51.37,30,66,15
T Chanderpaul,WI,2022-2023,6,11,1,453,207*,45.30,1,1,0
LD Chandimal,SL,2011-2023,74,133,15,5231,206*,44.33,14,25,5
BS Chandrasekhar,IND,1964-1979,58,80,39,167,22,4.07,0,0,23
R Chandrika,WI,2015-2016,5,10,0,140,37,14.00,0,0,3
HS Chang,WI,1979-1979,1,2,0,8,6,4.00,0,0,0
APF Chapman,ENG,1924-1931,26,36,4,925,121,28.90,1,5,2
HW Chapman,SA,1914-1921,2,4,1,39,17,13.00,0,0,0
GS Chappell,AUS,1970-1984,87,151,19,7110,247*,53.86,24,31,12
IM Chappell,AUS,1964-1980,75,136,10,5345,196,42.42,14,26,11
TM Chappell,AUS,1981-1981,3,6,1,79,27,15.80,0,0,0
ME Chapple,NZ,1953-1966,14,27,1,497,76,19.11,0,3,2
BB Chari,ZIM,2014-2018,7,14,0,254,80,18.14,0,2,2
PC Charlton,AUS,1890-1890,2,4,0,29,11,7.25,0,0,0
HRJ Charlwood,ENG,1877-1877,2,4,0,63,36,15.75,0,0,1
RL Chase,WI,2016-2023,49,90,4,2265,137*,26.33,5,11,12
TL Chatara,ZIM,2013-2018,9,16,2,90,22,6.42,0,0,5
EJ Chatfield,NZ,1975-1989,43,54,33,180,21*,8.57,0,0,11
S Chattergoon,WI,2008-2008,4,7,0,127,46,18.14,0,0,0
W Chatterton,ENG,1892-1892,1,1,0,48,48,48.00,0,0,0
CPS Chauhan,IND,1969-1981,40,68,2,2084,97,31.57,0,16,6
RK Chauhan,IND,1993-1998,21,17,3,98,23,7.00,0,0,1
PP Chawla,IND,2006-2012,3,3,0,6,4,2.00,0,0,0
JE Cheetham,SA,1949-1955,24,43,6,883,89,23.86,0,5,1
GA Chevalier,SA,1970-1970,1,2,1,0,0*,0.00,0,0,1
CJ Chibhabha,ZIM,2016-2023,5,10,0,175,60,17.50,0,1,0
E Chigumbura,ZIM,2004-2014,14,27,0,569,88,21.07,0,4,6
JH Childs,ENG,1988-1988,2,4,4,2,2*,-,0,0,0
MT Chinouya,ZIM,2016-2016,2,4,2,1,1,0.50,0,0,1
AG Chipperfield,AUS,1934-1938,14,20,3,552,109,32.47,1,2,1
TS Chisoro,ZIM,2017-2021,3,5,0,27,9,5.40,0,0,1
TL Chivanga,ZIM,2023-2023,1,2,1,9,6,9.00,0,0,0
A Chopra,IND,2003-2004,10,19,0,437,60,23.00,0,2,1
N Chopra,IND,2000-2000,1,2,0,7,4,3.50,0,0,0
NR Chowdhury,IND,1949-1951,2,2,1,3,3*,3.00,0,0,1
CM Christiani,WI,1935-1935,4,7,2,98,32*,19.60,0,0,1
RJ Christiani,WI,1948-1954,22,37,3,896,107,26.35,1,4,0
S Christopherson,ENG,1884-1884,1,1,0,17,17,17.00,0,0,0
JAJ Christy,SA,1929-1932,10,18,0,618,103,34.33,1,5,1
GWA Chubb,SA,1951-1951,5,9,3,63,15*,10.50,0,0,0
EW Clark,ENG,1929-1934,8,9,5,36,10,9.00,0,0,1
SR Clark,AUS,2006-2009,24,26,7,248,39,13.05,0,0,5
WM Clark,AUS,1977-1979,10,19,2,98,33,5.76,0,0,8
CB Clarke,WI,1939-1939,3,4,1,3,2,1.00,0,0,1
MJ Clarke,AUS,2004-2015,115,198,22,8643,329*,49.10,28,27,9
R Clarke,ENG,2003-2003,2,3,0,96,55,32.00,0,1,0
ST Clarke,WI,1978-1982,11,16,5,172,35*,15.63,0,0,2
JC Clay,ENG,1935-1935,1,-,-,-,-,-,-,-,-
DC Cleverley,NZ,1932-1946,2,4,3,19,10*,19.00,0,0,0
DB Close,ENG,1949-1976,22,37,2,887,70,25.34,0,4,3
JAK Cochran,SA,1931-1931,1,1,0,4,4,4.00,0,0,0
SK Coen,SA,1927-1928,2,4,2,101,41*,50.50,0,0,0
G Coetzee,SA,2023-2023,2,4,1,47,20,15.66,0,0,0
SHM Colah,IND,1932-1933,2,4,0,69,31,17.25,0,0,0
LJ Coldwell,ENG,1962-1964,7,7,5,9,6*,4.50,0,0,1
DJ Colley,AUS,1972-1972,3,4,0,84,54,21.00,0,1,0
RO Collinge,NZ,1965-1978,35,50,13,533,68*,14.40,0,2,9
PD Collingwood,ENG,2003-2011,68,115,10,4259,206,40.56,10,20,6
HL Collins,AUS,1920-1926,19,31,1,1352,203,45.06,4,6,0
PT Collins,WI,1999-2006,32,47,7,235,24,5.87,0,0,14
CD Collymore,WI,1999-2007,30,52,27,197,16*,7.88,0,0,11
IA Colquhoun,NZ,1955-1955,2,4,2,1,1*,0.50,0,0,2
JMM Commaille,SA,1910-1928,12,22,1,355,47,16.90,0,0,1
JB Commins,SA,1994-1995,3,6,1,125,45,25.00,0,0,1
M Commins,IRE,2023-2023,2,4,0,6,5,1.50,0,0,2
DCS Compton,ENG,1937-1957,78,131,15,5807,278,50.06,17,28,10
NRD Compton,ENG,2012-2016,16,30,3,775,117,28.70,2,2,3
JV Coney,NZ,1974-1987,52,85,14,2668,174*,37.57,3,16,3
BE Congdon,NZ,1965-1978,61,114,7,3448,176,32.22,7,19,9
A Coningham,AUS,1894-1895,1,2,0,13,10,6.50,0,0,0
AN Connolly,AUS,1963-1971,29,45,20,260,37,10.40,0,0,10
LN Constantine,WI,1928-1939,18,33,0,635,90,19.24,0,4,4
NJ Contractor,IND,1955-1962,31,52,1,1611,108,31.58,1,11,2
DP Conway,NZ,2021-2023,16,29,1,1403,200,50.10,4,8,2
DP Conyngham,SA,1923-1923,1,2,2,6,3*,-,0,0,0
AN Cook,ENG,2006-2018,161,291,16,12472,294,45.35,33,57,9
C Cook,ENG,1947-1947,1,2,0,4,4,2.00,0,0,1
FJ Cook,SA,1896-1896,1,2,0,7,7,3.50,0,0,1
G Cook,ENG,1982-1983,7,13,0,203,66,15.61,0,2,1
NGB Cook,ENG,1983-1989,15,25,4,179,31,8.52,0,0,2
SC Cook,SA,2016-2017,11,19,0,632,117,33.26,3,2,3
SH Cook,AUS,1997-1997,2,2,2,3,3*,-,0,0,0
SJ Cook,SA,1992-1993,3,6,0,107,43,17.83,0,0,1
AHC Cooper,SA,1913-1913,1,2,0,6,6,3.00,0,0,1
BB Cooper,AUS,1877-1877,1,2,0,18,15,9.00,0,0,0
WH Cooper,AUS,1881-1884,2,3,1,13,7,6.50,0,0,0
GA Cope,ENG,1977-1978,3,3,0,40,22,13.33,0,0,1
TA Copeland,AUS,2011-2011,3,4,1,39,23*,13.00,0,0,0
WH Copson,ENG,1939-1947,3,1,0,6,6,6.00,0,0,0
DG Cork,ENG,1995-2002,37,56,8,864,59,18.00,0,3,5
GE Corling,AUS,1964-1964,5,4,1,5,3,1.66,0,0,2
WL Cornford,ENG,1930-1930,4,4,0,36,18,9.00,0,0,0
RRS Cornwall,WI,2019-2021,9,15,2,238,73,18.30,0,2,1
GJ Cosier,AUS,1975-1978,18,32,1,897,168,28.93,2,3,3
JT Cottam,AUS,1887-1887,1,2,0,4,3,2.00,0,0,0
RMH Cottam,ENG,1969-1973,4,5,1,27,13,6.75,0,0,0
A Cotter,AUS,1904-1912,21,37,2,457,45,13.05,0,0,6
SS Cottrell,WI,2013-2014,2,4,0,11,5,2.75,0,0,1
G Coulthard,AUS,1882-1882,1,1,1,6,6*,-,0,0,0
Hon.CJ Coventry,ENG,1889-1889,2,2,1,13,12,13.00,0,0,0
CK Coventry,ZIM,2005-2005,2,4,0,88,37,22.00,0,0,0
EJM Cowan,AUS,2011-2013,18,32,0,1001,136,31.28,1,6,2
NG Cowans,ENG,1982-1985,19,29,7,175,36,7.95,0,0,5
CS Cowdrey,ENG,1984-1988,6,8,1,101,38,14.42,0,0,1
MC Cowdrey,ENG,1954-1975,114,188,15,7624,182,44.06,22,38,9
J Cowie,NZ,1937-1949,9,13,4,90,45,10.00,0,0,3
RM Cowper,AUS,1964-1968,27,46,2,2061,307,46.84,5,10,3
JL Cox,SA,1913-1914,3,6,1,17,12*,3.40,0,0,3
A Coxon,ENG,1948-1948,1,2,0,19,19,9.50,0,0,1
ID Craig,AUS,1953-1958,11,18,0,358,53,19.88,0,2,3
MD Craig,NZ,2014-2016,15,25,9,589,67,36.81,0,3,1
MS Crane,ENG,2018-2018,1,2,0,6,4,3.00,0,0,0
J Cranston,ENG,1890-1890,1,2,0,31,16,15.50,0,0,0
K Cranston,ENG,1947-1948,8,14,0,209,45,14.92,0,0,2
JF Crapp,ENG,1948-1949,7,13,2,319,56,29.00,0,3,1
JN Crawford,ENG,1906-1908,12,23,2,469,74,22.33,0,2,1
WPA Crawford,AUS,1956-1956,4,5,2,53,34,17.66,0,0,1
JP Crawley,ENG,1994-2003,37,61,9,1800,156*,34.61,4,9,4
Z Crawley,ENG,2019-2023,33,61,1,1656,267,27.60,3,7,6
AG Cremer,ZIM,2005-2017,19,38,5,540,102*,16.36,1,0,7
GF Cresswell,NZ,1949-1951,3,5,3,14,12*,7.00,0,0,1
G Cripps,SA,1892-1892,1,2,0,21,18,10.50,0,0,0
RJ Crisp,SA,1935-1936,9,13,1,123,35,10.25,0,0,5
GJ Crocker,ZIM,1992-1992,3,4,1,69,33,23.00,0,0,0
CEH Croft,WI,1977-1982,27,37,22,158,33,10.53,0,0,6
RDB Croft,ENG,1996-2001,21,34,8,421,37*,16.19,0,0,2
IB Cromb,NZ,1931-1932,5,8,2,123,51*,20.50,0,1,1
WJ Cronje,SA,1992-2000,68,111,9,3714,135,36.41,6,23,11
JJ Crowe,NZ,1983-1990,39,65,4,1601,128,26.24,3,6,6
MD Crowe,NZ,1982-1995,77,131,11,5444,299,45.36,17,18,9
CE Cuffy,WI,1994-2002,15,23,9,58,15,4.14,0,0,6
DJ Cullen,AUS,2006-2006,1,-,-,-,-,-,-,-,-
DJ Cullinan,SA,1993-2001,70,115,12,4554,275*,44.21,14,20,10
CD Cumming,NZ,2005-2008,11,19,2,441,74,25.94,0,1,1
ML Cummins,WI,2016-2019,14,22,7,114,24*,7.60,0,0,6
AC Cummins,WI,1993-1994,5,6,1,98,50,19.60,0,1,1
PJ Cummins,AUS,2011-2023,49,67,9,924,63,15.93,0,2,11
RS Cunis,NZ,1964-1972,20,31,8,295,51,12.82,0,1,6
SH Curnow,SA,1930-1932,7,14,0,168,47,12.00,0,0,0
SM Curran,ENG,2018-2021,24,38,5,815,78,24.69,0,3,7
TK Curran,ENG,2017-2018,2,3,1,66,39,33.00,0,0,0
TS Curtis,ENG,1988-1989,5,9,0,140,41,15.55,0,0,1
WR Cuttell,ENG,1899-1899,2,4,0,65,21,16.25,0,0,0
KM Dabengwa,ZIM,2005-2005,3,6,0,90,35,15.00,0,0,1
OC da Costa,WI,1930-1935,5,9,1,153,39,19.12,0,0,1
V Dahiya,IND,2000-2000,2,1,1,2,2*,-,0,0,0
AC Dale,AUS,1998-1999,2,3,0,6,5,2.00,0,0,1
EL Dalton,SA,1929-1939,15,24,2,698,117,31.72,2,3,1
A Dananjaya,SL,2018-2019,6,10,2,135,43*,16.87,0,0,3
HT Dani,IND,1952-1952,1,-,-,-,-,-,-,-,-
WW Daniel,WI,1976-1984,10,11,4,46,11,6.57,0,0,2
Danish Kaneria,PAK,2000-2010,61,84,33,360,29,7.05,0,0,25
JW D'Arcy,NZ,1958-1958,5,10,0,136,33,13.60,0,0,0
J Darling,AUS,1894-1905,34,60,2,1657,178,28.56,3,8,8
LS Darling,AUS,1933-1937,12,18,1,474,85,27.88,0,3,2
WM Darling,AUS,1978-1979,14,27,1,697,91,26.80,0,6,1
SS Das,IND,2000-2002,23,40,2,1326,110,34.89,2,9,3
D Dasgupta,IND,2001-2002,8,13,1,344,100,28.66,1,2,2
PB Dassanayake,SL,1993-1994,11,17,2,196,36,13.06,0,0,3
AK Davidson,AUS,1953-1963,44,61,7,1328,80,24.59,0,5,1
EQ Davies,SA,1936-1939,5,8,3,9,3,1.80,0,0,2
BA Davis,WI,1965-1965,4,8,0,245,68,30.62,0,3,0
CA Davis,WI,1968-1973,15,29,5,1301,183,54.20,4,4,1
HT Davis,NZ,1994-1997,5,7,4,20,8*,6.66,0,0,0
IC Davis,AUS,1973-1977,15,27,1,692,105,26.61,1,4,3
SP Davis,AUS,1986-1986,1,1,0,0,0,0.00,0,0,1
WW Davis,WI,1983-1988,15,17,4,202,77,15.53,0,1,2
AC Dawson,SA,2003-2003,2,1,0,10,10,10.00,0,0,0
EW Dawson,ENG,1928-1930,5,9,0,175,55,19.44,0,1,0
LA Dawson,ENG,2016-2017,3,6,2,84,66*,21.00,0,1,3
OC Dawson,SA,1947-1949,9,15,1,293,55,20.92,0,1,1
RKJ Dawson,ENG,2001-2003,7,13,3,114,19*,11.40,0,0,0
J Da Silva,WI,2020-2023,22,38,7,857,100*,27.64,1,3,4
RG de Alwis,SL,1983-1988,11,19,0,152,28,8.00,0,0,5
H Dean,ENG,1912-1912,3,4,2,10,8,5.00,0,0,1
HG Deane,SA,1924-1931,17,27,2,628,93,25.12,0,3,1
TB de Bruyn,SA,2017-2022,13,25,1,468,101,19.50,1,0,2
Z de Bruyn,SA,2004-2004,3,5,1,155,83,38.75,0,1,0
FI de Caires,WI,1930-1930,3,6,0,232,80,38.66,0,2,1
JH de Courcy,AUS,1953-1953,3,6,1,81,41,16.20,0,0,0
PAJ DeFreitas,ENG,1986-1995,44,68,5,934,88,14.82,0,4,10
C de Grandhomme,NZ,2016-2022,29,44,7,1432,120*,38.70,2,8,6
RP de Groen,NZ,1993-1994,5,10,4,45,26,7.50,0,0,1
MH Dekker,ZIM,1993-1996,14,22,1,333,68*,15.85,0,2,4
Q de Kock,SA,2014-2021,54,91,6,3300,141*,38.82,6,22,7
M de Lange,SA,2011-2012,2,2,0,9,9,4.50,0,0,1
AR Dell,AUS,1971-1974,2,2,2,6,3*,-,0,0,0
ALF de Mel,SL,1982-1986,17,28,5,326,34,14.17,0,0,5
CS Dempster,NZ,1930-1933,10,15,4,723,136,65.72,2,5,0
EW Dempster,NZ,1953-1954,5,8,2,106,47,17.66,0,0,2
JL Denly,ENG,2019-2020,15,28,0,827,94,29.53,0,6,0
MH Denness,ENG,1969-1975,28,45,3,1667,188,39.69,4,7,2
D Denton,ENG,1905-1910,11,22,1,424,104,20.19,1,1,4
N Deonarine,WI,2005-2013,18,30,2,725,82,25.89,0,5,3
CC Depeiaza,WI,1955-1956,5,8,2,187,122,31.16,1,0,1
RB Desai,IND,1959-1968,28,44,13,418,85,13.48,0,1,8
SI de Saram,SL,1999-2000,4,5,0,117,39,23.40,0,0,0
DM de Silva,SL,2016-2023,49,87,8,3030,173,38.35,9,11,7
AM de Silva,SL,1993-1993,3,3,0,10,9,3.33,0,0,1
DS de Silva,SL,1982-1984,12,22,3,406,61,21.36,0,2,3
EAR de Silva,SL,1985-1991,10,16,4,185,50,15.41,0,1,3
GRA de Silva,SL,1982-1982,4,7,2,41,14,8.20,0,0,2
KSC de Silva,SL,1997-1999,8,12,5,65,27,9.28,0,0,2
PA de Silva,SL,1984-2002,93,159,11,6361,267,42.97,20,22,7
PWH de Silva,SL,2020-2021,4,7,0,196,59,28.00,0,1,0
SKL de Silva,SL,1997-1997,3,4,2,36,20*,18.00,0,0,1
WRS de Silva,SL,2002-2007,3,2,1,10,5*,10.00,0,0,0
AB de Villiers,SA,2004-2018,114,191,18,8765,278*,50.66,22,46,8
PS de Villiers,SA,1993-1998,18,26,7,359,67*,18.89,0,2,3
DT Dewdney,WI,1955-1958,9,12,5,17,5*,2.42,0,0,3
JG Dewes,ENG,1948-1950,5,10,0,121,67,12.10,0,1,1
F de Wet,SA,2009-2010,2,2,0,20,20,10.00,0,0,1
ER Dexter,ENG,1958-1968,62,102,8,4502,205,47.89,9,27,6
T de Zorzi,SA,2023-2023,2,4,0,114,85,28.50,0,1,1
R Dhanraj,WI,1994-1996,4,4,0,17,9,4.25,0,0,0
HDPK Dharmasena,SL,1993-2004,31,51,7,868,62*,19.72,0,3,4
S Dhawan,IND,2013-2018,34,58,1,2315,190,40.61,7,5,4
MS Dhoni,IND,2005-2014,90,144,16,4876,224,38.09,6,33,10
RL Dias,SL,1982-1987,20,36,1,1285,109,36.71,3,8,2
AE Dick,NZ,1961-1965,17,30,4,370,50*,14.23,0,1,4
GR Dickinson,NZ,1930-1932,3,5,0,31,11,6.20,0,0,0
N Dickwella,SL,2014-2023,54,96,7,2757,96,30.97,0,22,4
SS Dighe,IND,2001-2001,6,10,1,141,47,15.66,0,0,1
Dilawar Hussain,IND,1934-1936,3,6,0,254,59,42.33,0,3,0
GR Dilley,ENG,1979-1989,41,58,19,521,56,13.35,0,2,10
M Dillon,WI,1997-2004,38,68,3,549,43,8.44,0,0,26
TM Dilshan,SL,1999-2013,87,145,11,5492,193,40.98,16,23,14
HH Dippenaar,SA,1999-2007,38,62,5,1718,177*,30.14,3,7,8
AE Dipper,ENG,1921-1921,1,2,0,51,40,25.50,0,0,0
RV Divecha,IND,1951-1952,5,5,0,60,26,12.00,0,0,0
CD Dixon,SA,1914-1914,1,2,0,0,0,0.00,0,0,2
GH Dockrell,IRE,2019-2023,2,4,0,98,39,24.50,0,0,0
AIC Dodemaide,AUS,1987-1992,10,15,6,202,50,22.44,0,1,0
GHG Doggart,ENG,1950-1950,2,4,0,76,29,19.00,0,0,1
XJ Doherty,AUS,2010-2013,4,7,3,51,18*,12.75,0,0,0
BL D'Oliveira,ENG,1966-1972,44,70,8,2484,158,40.06,5,15,4
HE Dollery,ENG,1947-1950,4,7,0,72,37,10.28,0,0,2
A Dolphin,ENG,1921-1921,1,2,0,1,1,0.50,0,0,1
AA Donald,SA,1992-2002,72,94,33,652,37,10.68,0,0,17
H Donnan,AUS,1892-1896,5,10,1,75,15,8.33,0,0,1
MP Donnelly,NZ,1937-1949,7,12,1,582,206,52.90,1,4,2
AJ Doolan,AUS,2014-2014,4,8,0,191,89,23.87,0,1,1
B Dooland,AUS,1947-1948,3,5,1,76,29,19.00,0,0,0
DR Doshi,IND,1979-1983,33,38,10,129,20,4.60,0,0,14
JWHT Douglas,ENG,1911-1925,23,35,2,962,119,29.15,1,6,3
SB Doull,NZ,1992-2000,32,50,11,570,46,14.61,0,0,10
UG Dowe,WI,1971-1973,4,3,2,8,5*,8.00,0,0,0
RR Dower,SA,1899-1899,1,2,0,9,9,4.50,0,0,1
TM Dowlin,WI,2009-2010,6,11,0,343,95,31.18,0,3,0
GT Dowling,NZ,1961-1972,39,77,3,2306,239,31.16,3,11,6
PR Downton,ENG,1981-1988,30,48,8,785,74,19.62,0,4,4
SO Dowrich,WI,2015-2020,35,62,8,1570,125*,29.07,3,9,8
VC Drakes,WI,2002-2004,12,20,2,386,67,21.44,0,1,2
RG Draper,SA,1950-1950,2,3,0,25,15,8.33,0,0,0
R Dravid,ICC/IND,1996-2012,164,286,32,13288,270,52.31,36,63,8
NF Druce,ENG,1897-1898,5,9,0,252,64,28.00,0,1,0
CJ Drum,NZ,2001-2002,5,5,2,10,4,3.33,0,0,1
A D'Souza,PAK,1959-1962,6,10,8,76,23*,38.00,0,0,0
A Ducat,ENG,1921-1921,1,2,0,5,3,2.50,0,0,0
BM Duckett,ENG,2016-2023,9,17,1,618,107,38.62,1,5,2
CAR Duckworth,SA,1957-1957,2,4,0,28,13,7.00,0,0,0
G Duckworth,ENG,1924-1936,24,28,12,234,39*,14.62,0,0,2
RA Duff,AUS,1902-1905,22,40,3,1317,146,35.59,2,6,0
T Duffin,ZIM,2005-2005,2,4,0,80,56,20.00,0,1,0
PJL Dujon,WI,1981-1991,81,115,11,3322,139,31.94,5,16,8
KS Duleepsinhji,ENG,1929-1931,12,19,2,995,173,58.52,3,5,0
R Dumbrill,SA,1965-1967,5,10,0,153,36,15.30,0,0,0
JP Duminy,SA,1927-1929,3,6,0,30,12,5.00,0,0,1
JP Duminy,SA,2008-2017,46,74,10,2103,166,32.85,6,8,9
JRF Duncan,AUS,1971-1971,1,1,0,3,3,3.00,0,0,0
OR Dunell,SA,1889-1889,2,4,1,42,26*,14.00,0,0,1
JA Dunning,NZ,1933-1937,4,6,1,38,19,7.60,0,0,2
CI Dunusinghe,SL,1995-1995,5,10,0,160,91,16.00,0,1,3
F du Plessis,SA,2012-2021,69,118,14,4163,199,40.02,10,21,9
JH du Preez,SA,1967-1967,2,2,0,0,0,0.00,0,0,2
SA Durani,IND,1960-1973,29,50,2,1202,104,25.04,1,7,4
FJ Durston,ENG,1921-1921,1,2,1,8,6*,8.00,0,0,0
JF du Toit,SA,1892-1892,1,2,2,2,2*,-,0,0,0
DV Dyer,SA,1947-1947,3,6,0,96,62,16.00,0,1,0
GC Dyer,AUS,1986-1988,6,6,0,131,60,21.83,0,1,1
